SIM_ID,ks,fl_mu_0,fl_mu_ratio,ftype_proportions_0,bpwr_mu_ratio,preburn_fraction,burn_fibers
DOE_0211110,1.4,0.5,6,0.3,2,0.006,False
DOE_0211111,1.4,0.5,6,0.3,2,0.006,True
DOE_0211120,1.4,0.5,6,0.3,2,0.01,False
DOE_0211121,1.4,0.5,6,0.3,2,0.01,True
DOE_0211200,1.4,0.5,6,0.3,3,0.002,False
DOE_0211201,1.4,0.5,6,0.3,3,0.002,True
DOE_0211210,1.4,0.5,6,0.3,3,0.006,False
DOE_0211211,1.4,0.5,6,0.3,3,0.006,True
DOE_0211220,1.4,0.5,6,0.3,3,0.01,False
DOE_0211221,1.4,0.5,6,0.3,3,0.01,True
DOE_0212000,1.4,0.5,6,0.5,1,0.002,False
DOE_0212001,1.4,0.5,6,0.5,1,0.002,True
DOE_0212010,1.4,0.5,6,0.5,1,0.006,False
DOE_0212011,1.4,0.5,6,0.5,1,0.006,True
DOE_0212020,1.4,0.5,6,0.5,1,0.01,False
DOE_0212021,1.4,0.5,6,0.5,1,0.01,True
DOE_0212100,1.4,0.5,6,0.5,2,0.002,False
DOE_0212101,1.4,0.5,6,0.5,2,0.002,True
DOE_0212110,1.4,0.5,6,0.5,2,0.006,False
DOE_0212111,1.4,0.5,6,0.5,2,0.006,True
DOE_0212120,1.4,0.5,6,0.5,2,0.01,False
DOE_0212121,1.4,0.5,6,0.5,2,0.01,True
DOE_0212200,1.4,0.5,6,0.5,3,0.002,False
DOE_0212201,1.4,0.5,6,0.5,3,0.002,True
DOE_0212210,1.4,0.5,6,0.5,3,0.006,False
DOE_0212211,1.4,0.5,6,0.5,3,0.006,True
DOE_0212220,1.4,0.5,6,0.5,3,0.01,False
DOE_0212221,1.4,0.5,6,0.5,3,0.01,True
DOE_0220000,1.4,0.5,10,0.1,1,0.002,False
DOE_0220001,1.4,0.5,10,0.1,1,0.002,True
DOE_0220010,1.4,0.5,10,0.1,1,0.006,False
DOE_0220011,1.4,0.5,10,0.1,1,0.006,True
DOE_0220020,1.4,0.5,10,0.1,1,0.01,False
DOE_0220021,1.4,0.5,10,0.1,1,0.01,True
DOE_0220100,1.4,0.5,10,0.1,2,0.002,False
DOE_0220101,1.4,0.5,10,0.1,2,0.002,True
DOE_0220110,1.4,0.5,10,0.1,2,0.006,False
DOE_0220111,1.4,0.5,10,0.1,2,0.006,True
DOE_0220120,1.4,0.5,10,0.1,2,0.01,False
DOE_0220121,1.4,0.5,10,0.1,2,0.01,True
DOE_0220200,1.4,0.5,10,0.1,3,0.002,False
DOE_0220201,1.4,0.5,10,0.1,3,0.002,True
DOE_0220210,1.4,0.5,10,0.1,3,0.006,False
DOE_0220211,1.4,0.5,10,0.1,3,0.006,True
DOE_0220220,1.4,0.5,10,0.1,3,0.01,False
DOE_0220221,1.4,0.5,10,0.1,3,0.01,True
DOE_0221000,1.4,0.5,10,0.3,1,0.002,False
DOE_0221001,1.4,0.5,10,0.3,1,0.002,True
DOE_0221010,1.4,0.5,10,0.3,1,0.006,False
